Timestamp;Offset;Event;Path
2023-02-19 21:16:26.445867;92;"LOOKUP SENT";P2-P4
2023-02-19 21:16:26.446214;92;"LOOKUP SENT";P2-P3
2023-02-19 21:16:26.446519;92;"LOOKUP SENT";P2-P1
2023-02-19 21:16:26.561890;92;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:16:28.117212;93;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:35.901036;101;"LOOKUP SENT";P4-P3
2023-02-19 21:16:35.901748;101;"LOOKUP SENT";P4-P1
2023-02-19 21:16:35.902190;101;"LOOKUP SENT";P4-P2
2023-02-19 21:16:35.956088;101;"LOOKUP SENT";P1-P4
2023-02-19 21:16:35.956852;101;"LOOKUP SENT";P1-P2
2023-02-19 21:16:35.957943;101;"LOOKUP SENT";P1-P3
2023-02-19 21:16:35.961483;101;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:16:36.002581;101;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:16:36.051760;101;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:16:36.090811;101;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:16:36.116493;101;"LOOKUP RECEIVED";P4-P2
2023-02-19 21:16:36.121515;101;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:16:36.165492;101;"LOOKUP SENT";P3-P2
2023-02-19 21:16:36.166248;101;"LOOKUP SENT";P3-P4
2023-02-19 21:16:36.166742;101;"LOOKUP SENT";P3-P1
2023-02-19 21:16:36.249058;101;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:16:36.263118;101;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:16:36.826580;102;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:16:38.459319;104;"LOOKUP SENT";P2-P4
2023-02-19 21:16:38.459664;104;"LOOKUP SENT";P2-P3
2023-02-19 21:16:38.459956;104;"LOOKUP SENT";P2-P1
2023-02-19 21:16:38.519432;104;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:16:38.576202;104;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:16:40.905967;106;"LOOKUP SENT";P4-P3
2023-02-19 21:16:40.906407;106;"LOOKUP SENT";P4-P1
2023-02-19 21:16:40.906719;106;"LOOKUP SENT";P4-P2
2023-02-19 21:16:40.994064;106;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:16:41.116673;106;"LOOKUP RECEIVED";P4-P1
2023-02-19 21:16:41.269881;106;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:16:44.969275;110;"LOOKUP SENT";P1-P4
2023-02-19 21:16:44.970910;110;"LOOKUP SENT";P1-P2
2023-02-19 21:16:44.971928;110;"LOOKUP SENT";P1-P3
2023-02-19 21:16:45.047549;110;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:16:45.172473;110;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:16:47.178557;112;"LOOKUP SENT";P3-P2
2023-02-19 21:16:47.185342;112;"LOOKUP SENT";P3-P4
2023-02-19 21:16:47.186140;112;"LOOKUP SENT";P3-P1
