Timestamp;Peer;Received;Source;Payload
2023-04-14 12:16:20.487000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 2, "ID": "P3_1681467380396", "Route": [], "Path": ["P3", "P4", "P2"]}
2023-04-14 12:16:20.561000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:22.420000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467382418", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:22.570000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 2, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:22.570000;P2;JOIN;P1;{"Message": "JOIN", "Destination": "P4", "Source": "P1", "ID": "P1_1681467381657", "TTL": 3, "Route": "", "Relay": "Assange027es", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:22.644000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:23.646000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:24.649000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 3, "FLAG": 1}
2023-04-14 12:16:24.649000;P2;LSA;P1;{"RID": "P1", "Port": 5001, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "sklep", "FLAG": 0}, {"NID": "P3", "Cost": 764, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:24.649000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467384550, "HBresp": 0}
2023-04-14 12:16:24.649000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 3, "FLAG": 0, "RP": []}
2023-04-14 12:16:25.094000;P2;LOOKUP;P4;{"Message": "LOOKUP", "Destination": "P1", "Source": "P4", "TTL": 3, "ID": "P4_1681467385063", "Route": [], "Path": ["P4", "P2"]}
2023-04-14 12:16:25.655000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 346, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:26.658000;P2;LSA;P4;{"RID": "P4", "Port": 5004, "Neighbours": 3, "Neighbours Data": [{"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "LupusreginaBeta", "FLAG": 0}, {"NID": "P3", "Cost": 346, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Assange027es", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:26.658000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467386327, "HBresp": 0}
2023-04-14 12:16:26.659000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 2, "ID": "P3_1681467385403", "Route": [], "Path": ["P3", "P4", "P2"]}
2023-04-14 12:16:26.709000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 3, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:27.421000;P2;HELLO;P3;{"Message": "HELLO", "Peer": "P3"}
2023-04-14 12:16:28.423000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "relayon1173", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:30.428000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 3, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:30.428000;P2;JOIN;P2;{"Message": "JOIN", "Destination": "P3", "Source": "P2", "ID": "P2_1681467386631", "TTL": 2, "Route": "", "Relay": "relayon1173", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:30.428000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "relayon1173", "FLAG": 0}], "SN": 4, "FLAG": 1}
2023-04-14 12:16:30.428000;P2;LSA;P3;{"RID": "P3", "Port": 5003, "Neighbours": 3, "Neighbours Data": [{"NID": "P1", "Cost": 100, "Hostname": "127.0.0.1", "RP": "snowball", "FLAG": 0}, {"NID": "P4", "Cost": 100, "Hostname": "127.0.0.1", "RP": "Vulnerar", "FLAG": 0}, {"NID": "P2", "Cost": 100, "Hostname": "127.0.0.1", "RP": "relayon1173", "FLAG": 0}], "SN": 4, "FLAG": 1}
